material,model,MAE,RMSE,MAPE,sMAPE,MASE,Bias,PICP,folds,sec_per_fit
HOSE Pipe & Accessories,ARIMA,0.39765337134281076,0.4947380100092061,63.398448801469094,87.84714952080303,0.47905016315843013,-0.2696452580663384,0.9444444444444445,6,2.276783545811971
HOSE Pipe & Accessories,AutoTS,0.5665938330513357,0.6563666321644233,116.64181858069155,108.27510177357463,0.6810628471706391,0.004294416291109826,0.41666666666666663,6,114.31669084231059
HOSE Pipe & Accessories,CrostonSBA,0.4669737673398561,0.5408825367070316,92.28880973096244,64.12783916152735,0.565046208943604,0.024613107082697667,,6,0.0021075010299681997
HOSE Pipe & Accessories,ETS,0.41560477940572554,0.49904312820612745,69.15872067242309,57.58058433676374,0.5036563309340852,-0.10054665414804455,1.0,6,0.7129996220270792
HOSE Pipe & Accessories,MLForecast,0.6780786478043349,0.846726644980646,134.51775758893066,93.445042625679,0.8209893115402549,0.15198826128033796,0.7222222222222222,6,0.2895851929982503
HOSE Pipe & Accessories,NBEATSx,0.7891090624802738,1.0035426909156755,166.12519986917135,114.79187922300561,0.9534986068942383,0.2455536889926232,0.05555555555555555,6,30.927539706230164
HOSE Pipe & Accessories,NHITS,0.765603734011739,1.0303726176801933,184.72627351146966,100.30565701938978,0.9238159663743172,0.37894755282954745,0.27777777777777773,6,35.76151386896769
HOSE Pipe & Accessories,Naive,0.817711771111111,0.914416330339253,173.4929982931429,85.74564264884391,0.985441843206036,0.2854943733333333,,6,0.0009686946868896167
HOSE Pipe & Accessories,NeuralProphet,0.8660319391538662,0.9603524931347408,231.4233527566405,86.86180800686388,1.0405605856108517,0.6420203779699708,0.2222222222222222,6,64.35111884276073
HOSE Pipe & Accessories,TCN,0.4855353142153334,0.6199661225595683,53.34961486903055,82.7522102503309,0.5889532814487665,-0.48523315732656136,0.9444444444444445,6,26.52752896149953
O-RING,ARIMA,0.09893240240024094,0.1142243476989664,433.66660181588554,100.42271247570841,0.46387098715426056,0.049635066329989014,1.0,6,2.623203237851461
O-RING,AutoTS,0.11981240549532442,0.1342993067359024,316.4968573512203,113.0424048447991,0.5607730010329859,0.02386873006567458,0.5,6,90.00898468494415
O-RING,CrostonSBA,0.09971716218403776,0.10404248835145676,340.06591152560173,110.5565191735479,0.4668641986619035,0.012061203897928285,,6,0.0011636416117350261
O-RING,ETS,0.09893251901652074,0.1142266347461116,433.68008992104507,100.42151354703883,0.46387161703068397,0.04964022822299624,1.0,6,0.1979445219039917
O-RING,MLForecast,0.19792476761503922,0.21688988837721035,491.3149197290277,136.42804425985523,0.9165971056335049,0.0923197167746293,0.8333333333333334,6,0.2581981023152669
O-RING,NBEATSx,0.22828279186901912,0.3139001286982596,451.7037265251238,128.82586867271846,1.067890621726221,0.1401276495508684,0.0,6,36.49345215161642
O-RING,NHITS,0.2328714386386487,0.3124010113496621,463.2091433794153,135.58730323671418,1.0890549764343074,0.13471977973504198,0.0,6,31.387173612912495
O-RING,Naive,0.10683777222222222,0.13090770358927342,362.66692820792144,131.10273833060828,0.5004872224700525,-0.0024459055555555637,,6,0.0010825792948404949
O-RING,NeuralProphet,0.17234146172908413,0.18097041779143733,630.86161677956,130.3236938365152,0.8039060833800854,0.07866246286306117,0.16666666666666666,6,69.37957270940144
O-RING,TCN,0.10149976390981841,0.1102626931960436,205.25069209844625,127.03030257168706,0.4738568364688378,-0.03662613385177422,1.0,6,26.65837613741557
RING SEAL,ARIMA,1.8168419413082426,2.1235400558611373,41.581095544469775,31.666940792130916,0.4434865746473604,0.9900715758661356,1.0,4,0.1592051386833191
RING SEAL,AutoTS,2.2544251122077057,2.8836215959978224,43.07058594403086,50.52522576296564,0.5655889717387415,-0.5240128170933003,0.6666666666666666,4,52.32345670461655
RING SEAL,CrostonSBA,1.4075632249004695,1.7792169055920648,29.358874334564984,25.65777500265267,0.3493567742953345,-0.007430473027768225,,4,0.0007068514823913574
RING SEAL,ETS,1.8168368737371372,2.1235400943047544,41.58101540824952,31.666883982374163,0.4434855994827734,0.9900875139633325,0.9166666666666666,4,0.02855736017227173
RING SEAL,MLForecast,3.3452365378818776,3.9640891094205215,74.09227084463885,50.58623511032056,0.8262032837606699,1.8851869544314392,,4,0.06337118148803711
RING SEAL,NBEATSx,3.45940354629158,3.7243754880672855,84.37589184144096,50.45537595335588,0.8241426011996904,2.209697342701747,0.08333333333333333,4,31.913813769817352
RING SEAL,NHITS,3.4766802690712995,3.7631585977211586,85.34635019346572,72.88007176666181,0.827773109466943,0.8321328429261781,0.08333333333333333,4,36.491078555583954
RING SEAL,Naive,2.065231773333333,2.315023958777365,35.3943719516441,41.49207280006981,0.5225294023573778,-1.4105804816666663,,4,0.000754237174987793
RING SEAL,NeuralProphet,4.027770639505837,4.3894679089445,68.67608771697168,109.98701813678495,1.0226527085257522,-3.5911132899046003,0.25,4,19.693647384643555
RING SEAL,TCN,2.070569435284557,2.4017440383578244,45.1313576526335,33.47135240172743,0.502528003939023,0.6861950079392549,0.6666666666666666,4,6.272372484207153
