material,model,fold,origin,seconds,status,MAE,RMSE,MAPE,sMAPE,MASE,Bias,PICP
HOSE Pipe & Accessories,ARIMA,0,2024-08-01,2.226022958755493,ok,0.34172948650929463,0.5034053166764999,20.985972062035533,25.74644134041742,0.4223614471238788,-0.31808698867279195,1.0
HOSE Pipe & Accessories,ARIMA,1,2024-07-01,2.3490707874298096,ok,0.36638248434135395,0.4944941099226037,42.84562858810535,61.137723255519646,0.4461245145749177,-0.331486435575775,1.0
HOSE Pipe & Accessories,ARIMA,2,2024-06-01,2.2718214988708496,ok,0.27089656444715277,0.3043378376615248,65.25288417625802,107.85599915416768,0.3253371735893153,-0.17045076919876764,1.0
HOSE Pipe & Accessories,ARIMA,3,2024-05-01,2.0285329818725586,ok,0.284075411451638,0.2998844172578563,99.77067151756054,62.173453660378286,0.33885794453773493,0.284075411451638,1.0
HOSE Pipe & Accessories,ARIMA,4,2024-04-01,2.220775604248047,ok,0.3812244891260719,0.39471751287070905,85.50515771814062,159.59190136938147,0.4548113773175744,-0.3812244891260719,1.0
HOSE Pipe & Accessories,ARIMA,5,2024-03-01,2.5644774436950684,ok,0.7416117921813532,0.971588865666043,66.03037874671446,110.57737834495359,0.8868085218071599,-0.7006982772762615,0.6666666666666666
HOSE Pipe & Accessories,AutoTS,0,2024-08-01,108.13958549499512,ok,0.3436528584966147,0.47579075074586147,57.867185813712254,34.266270468435906,0.42473864373111375,0.20528463418525988,0.6666666666666666
HOSE Pipe & Accessories,AutoTS,1,2024-07-01,96.5417537689209,ok,0.4120504672947331,0.5595514318812342,43.61919539802181,44.61125119288649,0.5017319947286634,-0.21923924228860037,0.3333333333333333
HOSE Pipe & Accessories,AutoTS,2,2024-06-01,72.80939531326294,ok,0.42090066666666665,0.42957395679750726,100.0,200.0,0.5054867843549394,-0.42090066666666665,
HOSE Pipe & Accessories,AutoTS,3,2024-05-01,126.60639643669128,ok,0.3392884729166667,0.39618463531706016,116.83342152188511,66.33013205237704,0.4047185708554773,0.3392884729166667,0.6666666666666666
HOSE Pipe & Accessories,AutoTS,4,2024-04-01,144.2172815799713,ok,1.0025019162666662,1.026979391535468,281.53110875053005,104.44295692774837,1.1960125603315228,1.0025019162666662,0.0
HOSE Pipe & Accessories,AutoTS,5,2024-03-01,137.58573246002197,ok,0.8811686166666668,1.0501196267094086,100.0,200.0,1.0536885290221178,-0.8811686166666668,
HOSE Pipe & Accessories,CrostonSBA,0,2024-08-01,0.0040524005889892,ok,0.6837142573581522,0.7959722645344328,50.10959440439435,63.83943404428024,0.8450384135908123,-0.5639383854077898,
HOSE Pipe & Accessories,CrostonSBA,1,2024-07-01,0.0,ok,0.5893425413382153,0.7119665645926427,80.44448463155497,68.58456646103723,0.7176111479387761,-0.17254837598535397,
HOSE Pipe & Accessories,CrostonSBA,2,2024-06-01,0.0015525817871093,ok,0.3140620485212971,0.3255938934925159,83.42998581172272,55.82579408567143,0.3771773902194392,0.3140620485212971,
HOSE Pipe & Accessories,CrostonSBA,3,2024-05-01,0.0030174255371093,ok,0.4442426060115971,0.45451437526071903,151.5051471037843,81.84474637169684,0.5299125875764303,0.4442426060115971,
HOSE Pipe & Accessories,CrostonSBA,4,2024-04-01,0.0020108222961425,ok,0.28733274211318166,0.3636436211601991,99.2482291585912,52.59115334318545,0.3427959218687932,0.28733274211318166,
HOSE Pipe & Accessories,CrostonSBA,5,2024-03-01,0.0020117759704589,ok,0.4831484086966931,0.59360450120168,88.99541727572709,62.081340663292885,0.577741792467373,-0.16147199275674606,
HOSE Pipe & Accessories,ETS,0,2024-08-01,0.1741032600402832,ok,0.7081628853763647,0.8495154992558921,48.29027671491335,66.30861365653836,0.8752557589403328,-0.6372842694624272,1.0
HOSE Pipe & Accessories,ETS,1,2024-07-01,0.1337854862213134,ok,0.5550931696960552,0.743580261270454,64.0099229551905,63.03151498971864,0.6759075050208495,-0.2752964909118347,1.0
HOSE Pipe & Accessories,ETS,2,2024-06-01,0.1395087242126464,ok,0.1903901699071943,0.20886557867564615,52.5642963410775,38.63623894514221,0.22865184681542802,0.1903901699071943,1.0
HOSE Pipe & Accessories,ETS,3,2024-05-01,0.1735877990722656,ok,0.28407230586714677,0.2998814753921029,99.76966840462295,62.17300809871037,0.3388542400566892,0.28407230586714677,1.0
